entity_id,state,last_changed
sensor.everything_presence_one_0428b0_co2,208.0,2026-02-21T23:59:07.452Z
sensor.everything_presence_one_0428b0_co2,211.0,2026-02-22T00:00:07.453Z
sensor.everything_presence_one_0428b0_co2,216.0,2026-02-22T00:01:07.456Z
sensor.everything_presence_one_0428b0_co2,220.0,2026-02-22T00:02:07.465Z
sensor.everything_presence_one_0428b0_co2,223.0,2026-02-22T00:03:07.472Z
sensor.everything_presence_one_0428b0_co2,237.0,2026-02-22T00:04:07.460Z
sensor.everything_presence_one_0428b0_co2,236.0,2026-02-22T00:05:07.464Z
sensor.everything_presence_one_0428b0_co2,237.0,2026-02-22T00:06:07.473Z
sensor.everything_presence_one_0428b0_co2,246.0,2026-02-22T00:07:07.474Z
sensor.everything_presence_one_0428b0_co2,229.0,2026-02-22T00:09:07.485Z
sensor.everything_presence_one_0428b0_co2,207.0,2026-02-22T00:10:07.486Z
sensor.everything_presence_one_0428b0_co2,189.0,2026-02-22T00:11:07.482Z
sensor.everything_presence_one_0428b0_co2,166.0,2026-02-22T00:12:07.485Z
sensor.everything_presence_one_0428b0_co2,155.0,2026-02-22T00:13:07.489Z
sensor.everything_presence_one_0428b0_co2,159.0,2026-02-22T00:14:07.483Z
sensor.everything_presence_one_0428b0_co2,192.0,2026-02-22T00:15:07.493Z
sensor.everything_presence_one_0428b0_co2,226.0,2026-02-22T00:16:07.498Z
sensor.everything_presence_one_0428b0_co2,245.0,2026-02-22T00:17:11.303Z
sensor.everything_presence_one_0428b0_co2,248.0,2026-02-22T00:18:07.499Z
sensor.everything_presence_one_0428b0_co2,unavailable,2026-02-22T00:20:00.081Z
sensor.everything_presence_one_0428b0_co2,256.0,2026-02-22T00:20:00.472Z
sensor.everything_presence_one_0428b0_co2,266.0,2026-02-22T00:20:07.514Z
sensor.everything_presence_one_0428b0_co2,299.0,2026-02-22T00:21:18.495Z
sensor.everything_presence_one_0428b0_co2,314.0,2026-02-22T00:22:07.518Z
sensor.everything_presence_one_0428b0_co2,306.0,2026-02-22T00:23:07.451Z
sensor.everything_presence_one_0428b0_co2,295.0,2026-02-22T00:24:07.524Z
sensor.everything_presence_one_0428b0_co2,297.0,2026-02-22T00:25:07.526Z
sensor.everything_presence_one_0428b0_co2,299.0,2026-02-22T00:26:07.530Z
sensor.everything_presence_one_0428b0_co2,306.0,2026-02-22T00:27:07.532Z
sensor.everything_presence_one_0428b0_co2,312.0,2026-02-22T00:28:07.532Z
sensor.everything_presence_one_0428b0_co2,316.0,2026-02-22T00:29:07.529Z
sensor.everything_presence_one_0428b0_co2,314.0,2026-02-22T00:30:07.534Z
sensor.everything_presence_one_0428b0_co2,319.0,2026-02-22T00:32:07.540Z
sensor.everything_presence_one_0428b0_co2,335.0,2026-02-22T00:33:07.541Z
sensor.everything_presence_one_0428b0_co2,348.0,2026-02-22T00:34:07.548Z
sensor.everything_presence_one_0428b0_co2,353.0,2026-02-22T00:35:07.552Z
sensor.everything_presence_one_0428b0_co2,356.0,2026-02-22T00:37:07.553Z
sensor.everything_presence_one_0428b0_co2,357.0,2026-02-22T00:38:07.552Z
sensor.everything_presence_one_0428b0_co2,362.0,2026-02-22T00:39:07.558Z
sensor.everything_presence_one_0428b0_co2,367.0,2026-02-22T00:40:07.562Z
sensor.everything_presence_one_0428b0_co2,373.0,2026-02-22T00:41:07.565Z
sensor.everything_presence_one_0428b0_co2,382.0,2026-02-22T00:42:07.562Z
sensor.everything_presence_one_0428b0_co2,386.0,2026-02-22T00:43:07.569Z
sensor.everything_presence_one_0428b0_co2,385.0,2026-02-22T00:44:07.572Z
sensor.everything_presence_one_0428b0_co2,380.0,2026-02-22T00:45:07.574Z
sensor.everything_presence_one_0428b0_co2,385.0,2026-02-22T00:46:07.570Z
sensor.everything_presence_one_0428b0_co2,394.0,2026-02-22T00:47:07.583Z
sensor.everything_presence_one_0428b0_co2,397.0,2026-02-22T00:48:07.581Z
sensor.everything_presence_one_0428b0_co2,401.0,2026-02-22T00:49:07.587Z
sensor.everything_presence_one_0428b0_co2,402.0,2026-02-22T00:50:07.589Z
sensor.everything_presence_one_0428b0_co2,398.0,2026-02-22T00:51:07.592Z
sensor.everything_presence_one_0428b0_co2,402.0,2026-02-22T00:52:07.593Z
sensor.everything_presence_one_0428b0_co2,422.0,2026-02-22T00:53:07.595Z
sensor.everything_presence_one_0428b0_co2,423.0,2026-02-22T00:54:07.527Z
sensor.everything_presence_one_0428b0_co2,434.0,2026-02-22T00:56:07.603Z
sensor.everything_presence_one_0428b0_co2,453.0,2026-02-22T00:57:07.604Z
sensor.everything_presence_one_0428b0_co2,449.0,2026-02-22T00:58:07.613Z
sensor.everything_presence_one_0428b0_co2,445.0,2026-02-22T00:59:07.615Z
sensor.everything_presence_one_0428b0_co2,436.0,2026-02-22T01:00:07.619Z
sensor.everything_presence_one_0428b0_co2,437.0,2026-02-22T01:02:07.614Z
sensor.everything_presence_one_0428b0_co2,447.0,2026-02-22T01:03:07.626Z
sensor.everything_presence_one_0428b0_co2,457.0,2026-02-22T01:04:07.633Z
sensor.everything_presence_one_0428b0_co2,462.0,2026-02-22T01:05:07.630Z
sensor.everything_presence_one_0428b0_co2,459.0,2026-02-22T01:06:07.630Z
sensor.everything_presence_one_0428b0_co2,460.0,2026-02-22T01:07:07.640Z
sensor.everything_presence_one_0428b0_co2,461.0,2026-02-22T01:08:07.644Z
sensor.everything_presence_one_0428b0_co2,463.0,2026-02-22T01:10:07.644Z
sensor.everything_presence_one_0428b0_co2,467.0,2026-02-22T01:11:07.646Z
sensor.everything_presence_one_0428b0_co2,475.0,2026-02-22T01:12:07.642Z
sensor.everything_presence_one_0428b0_co2,477.0,2026-02-22T01:13:07.647Z
sensor.everything_presence_one_0428b0_co2,478.0,2026-02-22T01:14:07.654Z
sensor.everything_presence_one_0428b0_co2,485.0,2026-02-22T01:15:07.651Z
sensor.everything_presence_one_0428b0_co2,492.0,2026-02-22T01:16:07.646Z
sensor.everything_presence_one_0428b0_co2,508.0,2026-02-22T01:17:07.656Z
sensor.everything_presence_one_0428b0_co2,519.0,2026-02-22T01:18:07.658Z
sensor.everything_presence_one_0428b0_co2,517.0,2026-02-22T01:20:07.666Z
sensor.everything_presence_one_0428b0_co2,514.0,2026-02-22T01:21:07.666Z
sensor.everything_presence_one_0428b0_co2,510.0,2026-02-22T01:22:07.662Z
sensor.everything_presence_one_0428b0_co2,501.0,2026-02-22T01:23:07.577Z
sensor.everything_presence_one_0428b0_co2,494.0,2026-02-22T01:24:07.643Z
sensor.everything_presence_one_0428b0_co2,493.0,2026-02-22T01:25:07.671Z
sensor.everything_presence_one_0428b0_co2,495.0,2026-02-22T01:28:07.677Z
sensor.everything_presence_one_0428b0_co2,504.0,2026-02-22T01:29:07.679Z
sensor.everything_presence_one_0428b0_co2,509.0,2026-02-22T01:30:07.681Z
sensor.everything_presence_one_0428b0_co2,524.0,2026-02-22T01:31:07.691Z
sensor.everything_presence_one_0428b0_co2,528.0,2026-02-22T01:32:07.686Z
sensor.everything_presence_one_0428b0_co2,535.0,2026-02-22T01:33:07.690Z
sensor.everything_presence_one_0428b0_co2,536.0,2026-02-22T01:34:07.681Z
sensor.everything_presence_one_0428b0_co2,538.0,2026-02-22T01:35:07.688Z
sensor.everything_presence_one_0428b0_co2,540.0,2026-02-22T01:36:07.690Z
sensor.everything_presence_one_0428b0_co2,543.0,2026-02-22T01:37:07.696Z
sensor.everything_presence_one_0428b0_co2,546.0,2026-02-22T01:38:07.695Z
sensor.everything_presence_one_0428b0_co2,549.0,2026-02-22T01:39:07.701Z
sensor.everything_presence_one_0428b0_co2,537.0,2026-02-22T01:40:07.704Z
sensor.everything_presence_one_0428b0_co2,532.0,2026-02-22T01:41:07.695Z
sensor.everything_presence_one_0428b0_co2,518.0,2026-02-22T01:42:07.705Z
sensor.everything_presence_one_0428b0_co2,513.0,2026-02-22T01:43:07.711Z
sensor.everything_presence_one_0428b0_co2,500.0,2026-02-22T01:44:07.713Z
sensor.everything_presence_one_0428b0_co2,497.0,2026-02-22T01:45:07.713Z
sensor.everything_presence_one_0428b0_co2,495.0,2026-02-22T01:46:07.710Z
sensor.everything_presence_one_0428b0_co2,488.0,2026-02-22T01:47:07.715Z
sensor.everything_presence_one_0428b0_co2,478.0,2026-02-22T01:48:07.720Z
sensor.everything_presence_one_0428b0_co2,474.0,2026-02-22T01:49:07.715Z
